planner,pair,samples,seed,success,time_s,len_m,ratio_vs_astar,min_clear_m,frac_unknown,n_occ_hits,error
custom_strict,0,4000,1,1,0.0604,4.559,0.951,0.05,0.0,0,
custom_inflated,0,4000,1,1,0.0422,4.8,0.96,0.22,0.0,0,
custom_strict,0,4000,2,1,0.0589,4.557,0.951,0.05,0.0,0,
custom_inflated,0,4000,2,1,0.043,4.78,0.956,0.22,0.0,0,
custom_strict,0,4000,3,1,0.0532,4.615,0.963,0.05,0.0,0,
custom_inflated,0,4000,3,1,0.0435,4.785,0.957,0.22,0.0,0,
custom_strict,0,4000,4,1,0.0531,4.572,0.954,0.05,0.0,0,
custom_inflated,0,4000,4,1,0.0424,4.775,0.955,0.25,0.0,0,
custom_strict,0,4000,5,1,0.0534,4.579,0.955,0.05,0.0,0,
custom_inflated,0,4000,5,1,0.0495,4.783,0.956,0.22,0.0,0,
repo_ompl,0,500,1,1,0.0308,6.151,1.283,0.0,0.144,23,
repo_ompl,0,500,2,1,0.0184,4.705,0.982,0.0,0.0,5,
repo_ompl,0,500,3,1,0.0448,4.525,0.944,0.0,0.0,10,
repo_ompl,0,2000,1,1,0.0634,4.884,1.019,0.0,0.025,8,
repo_ompl,0,2000,2,1,0.083,4.627,0.965,0.0,0.083,22,
repo_ompl,0,2000,3,1,0.0842,4.529,0.945,0.0,0.0,10,
repo_ompl,0,4000,1,1,0.0916,4.849,1.012,0.0,0.059,8,
repo_ompl,0,4000,2,1,0.0895,4.67,0.974,0.0,0.082,22,
repo_ompl,0,4000,3,1,0.074,4.529,0.945,0.0,0.0,10,
custom_strict,1,250,1,1,0.0117,6.065,1.007,0.05,0.0,0,
custom_inflated,1,250,1,1,0.0099,6.107,0.967,0.25,0.0,0,
custom_strict,1,250,2,1,0.0132,5.899,0.979,0.05,0.0,0,
custom_inflated,1,250,2,1,0.0107,6.033,0.955,0.22,0.0,0,
custom_strict,1,250,3,1,0.0119,6.081,1.009,0.05,0.0,0,
custom_inflated,1,250,3,1,0.0099,6.191,0.98,0.22,0.0,0,
custom_strict,1,250,4,1,0.0116,6.003,0.996,0.11,0.0,0,
custom_inflated,1,250,4,1,0.0101,6.196,0.981,0.22,0.0,0,
custom_strict,1,250,5,1,0.0116,5.917,0.982,0.05,0.0,0,
custom_inflated,1,250,5,1,0.0099,6.298,0.997,0.25,0.0,0,
custom_strict,1,500,1,1,0.0161,5.921,0.983,0.1,0.0,0,
custom_inflated,1,500,1,1,0.0134,6.126,0.97,0.28,0.0,0,
custom_strict,1,500,2,1,0.0154,6.033,1.001,0.07,0.0,0,
custom_inflated,1,500,2,1,0.0129,6.198,0.981,0.22,0.0,0,
